aid,amount,title,year,startdate,enddate,dir,div
1600177,307242,GP-EXTRA: Engaging and retaining students in the geosciences at two-year colleges (2YC) through undergraduate research,2016,0,0,GEO,ICER
1600186,94269,Logic and the Mathematics of Quantum Physics,2016,0,0,MPS,MS
1600188,60000,Relativistic Gravitation and Astrophysics,2016,0,0,MPS,PHYS
1600198,98000,Studies in Commutative Algebra,2016,0,0,MPS,MS
1600218,300000,Accelerated Dynamics of Surface Chemical Reactions,2016,0,0,ENG,CBETS
1600220,35000,Conference on Advances in Geometric Representation Theory,2016,0,0,MPS,MS
1600221,17710,RAPID: Studying the Effects of Disturbance in a Complex Socioecological System,2015,0,0,SBES,BCS
1600222,394266,"Coastal SEES Collaborative Research: Multi-scale modeling and observations of landscape dynamics, mass balance, and network connectivity for a sustainable Ganges-Brahmaputra delta",2016,0,0,GEO,OS
1600223,97517,Combinatorics of Cluster Varieties,2016,0,0,MPS,MS
1600228,189987,Interactions between Computability Theory and Model Theory,2016,0,0,MPS,MS
1600230,1103440,"Coastal SEES Collaborative Research: Apex predators, ecosystems and community sustainability (APECS) in coastal Alaska",2016,0,0,GEO,OS
1600233,358773,"GP-IMPACT: Career paths for urban geoscientists: recruitment, retention, and apprenticeship",2016,0,0,GEO,ICER
1600236,50000,I-Corps: Fluid Volume Responsiveness Monitor to Support the Care of Septic Patients,2015,0,0,ENG,IIP
1600237,175295,"Collaborative Research: Sustainability in Chesapeake Bay shorescapes: climate change, management decisions, and ecological functions.",2016,0,0,GEO,OS
1600239,55000,"Collaborative Research: Calderon-Zygmund Operators in Highly Irregular Environments, and Applications",2016,0,0,MPS,MS
1600258,396936,"Coastal SEES Collaborative Research: Multi-scale modeling and observations of landscape dynamics, mass balance, and network connectivity for a sustainable Ganges-Brahmaputra delta",2016,0,0,GEO,OS
1600263,42824,Proof Theory: Finite Data from Infinite Mathematics,2016,0,0,MPS,MS
1600266,205168,TWC: Small: Collaborative: A Unifying Framework For Theoretical and Empirical Analysis of Secure Communication Protocols,2015,0,0,CISE,CNS
1600267,361075,Coastal SEES Collaborative Research: Climate change impacts on the sustainability of key fisheries of the California Current System,2016,0,0,GEO,OS
1600272,139622,On some problems of infinite-dimensional Hamiltonian type,2016,0,0,MPS,MS
1600279,4398537,A Proposal of the Renewal of the Banff International Research Station for Mathematical Innovation and Discovery (BIRS),2015,0,0,MPS,MS
1600280,81042,TWC: Small: Automatic Detection of Protocol Manipulation Attacks in Large Scale Distributed Systems Implementations,2015,0,0,CISE,CNS
1600283,618774,Coastal SEES Collaborative Research: Climate change impacts on the sustainability of key fisheries of the California Current System,2016,0,0,GEO,OS
1600284,412348,GP-IMPACT: Collaborative Research: Geoscientist Development (GEODE): Recruiting and Engaging the future Geoscience workforce,2016,0,0,GEO,ICER
1600287,398180,"Coastal SEES Collaborative Research: Multi-scale modeling and observations of landscape dynamics, mass balance, and network connectivity for a sustainable Ganges-Brahmaputra delta",2016,0,0,GEO,OS
1600292,210673,Bulk Turbulence in Polymer Solutions: Beyond Friction Drag Reduction,2015,0,0,ENG,CBETS
1600307,115237,Utility Based Pricing and Hedging in Incomplete Markets with Stochastic Preferences in a Unifying Framework of Admissibility,2015,0,0,MPS,MS
1600311,8102,I-Corps: Motion contrast 3D scanning technology,2015,0,0,ENG,IIP
1600313,1050000,Democratizing Access to the Technology of Neuroscience,2016,0,0,MPS,PHYS
1600314,66931,GP-IMPACT: Collaborative Research: Geoscientist Development (GEODE): Recruiting and Engaging the future Geoscience workforce,2016,0,0,GEO,ICER
1600319,810211,"Coastal SEES Collaborative Research: Multi-scale modeling and observations of landscape dynamics, mass balance, and network connectivity for a sustainable Ganges-Brahmaputra delta",2016,0,0,GEO,OS
1600320,184974,RAPID: The Effects of Civic Education and Electoral Observation on Voters During Violent Elections,2016,0,0,SBES,DSES
1600323,24895,"Workshop: Building Better Futures-Junior Scholar Support for the 2015 Annual Meeting of The Society for the Study of Nanoscience and Emerging Technologies (October 18-21, 2015)",2015,0,0,SBES,DSES
1600325,299928,EAGER: Early Stage Research on Automatically Identifying Instructional Moves in Mathematics,2016,0,0,EHR,ROL
1600327,250000,Local Inverse Problems,2016,0,0,MPS,MS
1600329,50000,I-Corps: Dimensional touch: pressure-sensitive touchscreens for mobile applications,2015,0,0,ENG,IIP
1600353,298688,GP EXTRA: Geoscience Educational Opportunities and Career-Oriented Research Experiences (GEOCORE),2016,0,0,GEO,ICER
1600360,120000,Translation Surfaces and Their Applications,2016,0,0,MPS,MS
1600365,102257,"Legendrian graphs, invariants and DNA topology",2015,0,0,MPS,MS
1600371,102290,Research in Several Complex Variables,2016,0,0,MPS,MS
1600375,60400,"Quantum Algebras, Quiver Varieties, and Applications",2016,0,0,MPS,MS
1600376,415988,GP-IMPACT: Engagement of Students and Faculty at Community Colleges to Enhance Recruitment to 4-Year Geoscience Programs,2016,0,0,GEO,ICER
1600381,15630,Conference: Dynamics and Differential Equations,2016,0,0,MPS,MS
1600382,15000,Lake Michigan Workshop on Combinatorics and Graph Theory,2016,0,0,MPS,MS
1600390,80000,Collaborative Research: Flag Algebra and Its Applications,2016,0,0,MPS,MS
1600391,50215,Tools for Positivity in Algebraic Combinatorics,2016,0,0,MPS,MS
1600392,30050,"2016 Gordon Research Conference on Flow & Transport in Permeable Media:Bridging the Gap Between Scales and Processes for Strongly Coupled Systems; Girona, Spain; July 30-31, 20",2016,0,0,GEO,ES
1600399,297389,GP-IMPACT: Early College High School Pathways to Geoscience Majors and Careers: Full STEAM Ahead!,2016,0,0,GEO,ICER
1600403,261684,GP: EXTRA Plugging the Leaky Geoscience Pipeline: Bridging the Transition from Community College to University in Oregon,2017,0,0,GEO,ICER
1600410,228990,Collaborative Research GP-EXTRA: Engaging Diverse Two-Year College Geoscience Students: Expanding Opportunities Through Undergraduate Research and Mentoring,2016,0,0,GEO,ICER
1600414,50000,Concluding conference of the Special Program on Nonlinear Equations: Progress and Challenges in Nonlinear Equations,2016,0,0,MPS,MS
1600415,456589,GP-EXTRA:Pathways to atmospheric science through immersion in geoscience research,2016,0,0,GEO,ICER
1600417,475000,EARS: Development of tunable frequency selective limiters based on novel magnetic nanomaterials for RFI mitigation in a crowded spectrum environment,2015,0,0,ENG,ECCS
1600422,67974,Spectral Theory of Periodic and Quasiperiodic Quantum Systems,2016,0,0,MPS,MS
1600428,183472,Collaborative Research GP-EXTRA: Engaging Diverse Two-Year College Geoscience Students: Expanding Opportunities Through Undergraduate Research and Mentoring,2016,0,0,GEO,ICER
1600429,458252,GP-IMPACT: Leveraging Adoption of the Next Generation Science Standards (NGSS) and Improving Geoscience Education in the State of Iowa,2016,0,0,GEO,ICER
1600434,199927,"Developing and Deploying Flipped Classroom Resources for Electrical Engineering, Industrial Maintenance, and Renewable Energy Technicians",2016,0,0,EHR,UE
1600435,474839,GP-EXTRA: Native Pathways/Native Science Fellows,2016,0,0,GEO,ICER
1600441,234460,Recursion Theory and Diophantine Approximation,2016,0,0,MPS,MS
1600444,179997,Topics in Dispersive Partial Differential Equations and Harmonic Analysis,2016,0,0,MPS,MS
1600447,94938,The Positive Grassmannian: Applications and Generalizations,2016,0,0,MPS,MS
1600448,39522,EAGER: A Biocultural Study of the Functional Genomics of Intensive Internet Use,2016,0,0,SBES,BCS
1600455,705909,Increasing Technician Preparedness in the Built Environment,2016,0,0,EHR,UE
1600458,120000,Counteracting flatness with affine measures and related problems in harmonic analysis,2016,0,0,MPS,MS
1600463,409289,"GP-IMPACT: Increasing Geosciences Enrollment through Research Experiences, Mentoring, and Curriculum Interactions With Community Colleges and High Schools",2016,0,0,GEO,ICER
1600469,22500,Free Probability and the Large N Limit (V),2016,0,0,MPS,MS
1600473,13000,Texas-Oklahoma Representations and Automorphic Forms Conference Series,2016,0,0,MPS,MS
1600474,50000,I-CORPS: First Person Visual Analytics,2016,0,0,ENG,IIP
1600476,142304,RUI: Generalized Gauss Maps and Divergent Orbits,2016,0,0,MPS,MS
1600479,24960,SEAM 2016: The 32nd Southeastern Analysis Meeting,2016,0,0,MPS,MS
1600483,100000,Collaborative Research: Flag Algebra and Its Applications,2016,0,0,MPS,MS
1600486,40000,Ergodic Theory and Dynamical Systems Workshops,2016,0,0,MPS,MS
1600494,58025,Algebraic Cycles and Motivic Cohomology in the Context of the Langlands Program,2016,0,0,MPS,MS
1600503,26432,Taking the measure of one-dimensional dynamics - Conference,2016,0,0,MPS,MS
1600506,448458,GP-IMPACT: Increasing Diversity and Enhancing Academia (IDEA-2.0): Institutionalizing a framework for broadening participation in geosciences,2016,0,0,GEO,ICER
1600508,429363,GP-IMPACT: Establishing Partnerships to Recruit Geoscience Undergraduates from Urban Chicago,2016,0,0,GEO,ICER
1600515,133337,The Topology and Hodge Theory of Algebraic Maps,2016,0,0,MPS,MS
1600517,424347,GP-IMPACT: Pathways TO RENEW: Tropical Oceanography Research Experiences for the NExt-Generation Workforce,2016,0,0,GEO,ICER
1600519,49998,Analytic Low Dimensional Dynamics: From Dimension One to Two,2016,0,0,MPS,MS
1600520,120000,Harmonic Analysis and Quantitative Homogenization,2016,0,0,MPS,MS
1600521,16900,DISSERTATION RESEARCH : Species pool influences on the structure and function of fungal symbiont communities,2016,0,0,BS,EB
1600525,19404,DISSERTATION RESEARCH: Assessing multi-scale drivers of pollinator assembly and plant-pollinator network architecture in the context of prairie restoration,2016,0,0,BS,EB
1600541,110368,Global and Local Noncommutative Geometry,2016,0,0,MPS,MS
1600542,423122,GP-EXTRA: Using professional career experiences to strengthen pathways into the geoscience workforce,2016,0,0,GEO,ICER
1600543,79640,"Computability, Reverse Mathematics, and Information Coding",2016,0,0,MPS,MS
1600545,16548,Collaborative Research GP-EXTRA: Engaging Diverse Two-Year College Geoscience Students: Expanding Opportunities Through Undergraduate Research and Mentoring,2016,0,0,GEO,ICER
1600549,50000,I-Corps: Efficient Terrain-Based Measurement Gathering for Path Loss Inference,2015,0,0,ENG,IIP
1600551,120000,"Structure, Colouring, and Flows in Graphs",2016,0,0,MPS,MS
1600554,180001,Renormalization: From One- to Two-Dimensional Systems,2016,0,0,MPS,MS
1600556,226389,Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores,2016,0,0,BS,BI
1600558,3000000,Regional Center for Nuclear Education and Training (RCNET),2016,0,0,EHR,UE
1600560,159877,Variational Problems in Analysis and Physics,2016,0,0,MPS,MS
1600561,100000,Wave Turbulence and Long-Time Dynamics of Dispersive Partial Differential Equations,2016,0,0,MPS,MS
1600562,481234,GP-IMPACT: Collaborative Workforce Training in Geoscience and Social Science for Natural-Hazards Preparedness and Mitigation (HazPM),2016,0,0,GEO,ICER
1600568,121624,Dynamics and Kinetics,2016,0,0,MPS,MS
1600569,40148,Tropical Combinatorics and Applications,2016,0,0,MPS,MS
1600570,20085,"DISSERTATION RESEARCH: Investigating patterns, processes, and the role of mimicry in the phenotypic evolution of Tyrannini flycatchers",2016,0,0,BS,EB
1600578,160000,OP: Monge-Ampere type equations and geometric optics,2016,0,0,MPS,MS
1600584,294077,Pulsed Field Surface Hybridization,2016,0,0,ENG,CBETS
1600585,464959,GP-EXTRA: Stimulating Hispanic Participation in the Geosciences (SHIP-GEO),2016,0,0,GEO,ICER
1600587,85720,"Collaborative Research: Climate and Glacier change in Bhutan: the last millennia, present and future",2015,0,0,GEO,ES
1600592,107320,Extremal Problems on Graphs Related to Colorings and Cycle Structure,2016,0,0,MPS,MS
1600593,199702,Topics in Regularity Theory of Partial Differential Equations,2016,0,0,MPS,MS
1600595,162229,GP-EXTRA: Increasing Minorities in the Atmospheric Sciences through Geoscience Experiences (IMAGE-Project),2016,0,0,GEO,ICER
1600598,118095,EAGER: BACTERIOPHAGE -NANOMATERIAL INTERACTIONS IN THE ENVIRONMENT- A TOTALLY UNEXPLORED RESEARCH AREA,2016,0,0,ENG,CBETS
1600600,92411,Geometry of Banach spaces and their spaces of operators,2016,0,0,MPS,MS
1600605,15999,DISSERTATION RESEARCH: How will eco-evolutionary dynamics contribute to the range shifts of plants under climate change?,2016,0,0,BS,EB
1600609,269948,"RUI: Algebraic and Geometric Aspects of Matroids, Polytopes, and Arrangements",2016,0,0,MPS,MS
1600616,178733,Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores,2016,0,0,BS,BI
1600625,100000,Collaboration in Computability,2016,0,0,MPS,MS
1600629,3668875,Business R&D and Innovation Survey Operations and Related Activities-Census Bureau,2015,0,0,SBES,NCSS
1600630,329000,Occupational Employment Statistics Survey,2015,0,0,SBES,NCSS
1600635,123527,Set Theory and Its Applications,2016,0,0,MPS,MS
1600636,0,"Artihmetic Geometry: Iwasawa Theory, the Bloch-Kato Conjecture, and the Birch and Swinnerton-Dyer Conjecture",2016,0,0,MPS,MS
1600638,299953,HBCU-UP RIA: Isolation and identification of novel chemical entities from marine microorganisms,2016,0,0,EHR,HRD
1600641,120000,"Reactive Processes, Mixing, and Fluid Dynamics",2016,0,0,MPS,MS
1600642,13000,Texas-Oklahoma Representations and Automorphic Forms Conference Series,2016,0,0,MPS,MS
1600643,175511,Analysis of Extremal Black Holes,2016,0,0,MPS,MS
1600650,87514,Mappings and Measures in Sub-Riemannian and Metric Spaces,2016,0,0,MPS,MS
1600653,65414,Combinatorics of Koornwinder polynomials and stable double affine Hecke algebras,2016,0,0,MPS,MS
1600654,25000,"Midwest Dynamical Systems Conferences; Indianapolis, IN - October 21-23, 2016 ; (2nd Conference in 2017)",2016,0,0,MPS,MS
1600655,17490,"DISSERTATION RESEARCH: Quantifying the tempo of genome theft in polyploid, female-only Ambystoma salamanders",2016,0,0,BS,EB
1600658,197740,Nonlinear Geometric Partial Differential Equations: Entire Solutions and Regularity,2016,0,0,MPS,MS
1600665,49200,Commutative Algebra and Its Interactions with Algebraic Geometry,2016,0,0,MPS,MS
1600669,222526,"CNS: CSR: Small: Runtime System, Architecture, and Technology Codesign Approach for Heterogeneous Many-Core Processors and Clusters",2015,0,0,CISE,CNS
1600670,197029,The Combinatorics of Macdonald Polynomials and Symmetric Function Operators,2016,0,0,MPS,MS
1600673,73700,Conference on Best Practices in Mathematics Education,2016,0,0,EHR,HRD
1600685,111202,On the Automorphic Discrete Spectrum of Classical Groups: Constructions and Characterizations,2016,0,0,MPS,MS
1600687,124833,Beyond Renormalization in Parabolic Dynamics,2016,0,0,MPS,MS
1600688,116003,"Rigidity in von Neumann Algebras: Connections and Applications to Orbit Equivalence, Geometric Group Theory, and Continuous Model Theory",2016,0,0,MPS,MS
1600689,587687,Pathways for Alternative Energy Automotive Technicians,2016,0,0,EHR,UE
1600691,359998,Research Initiation Award:  Quantifying the effects of ocean acidification on visual and auditory neurobiology in marine fishes,2016,0,0,EHR,HRD
1600693,240666,Discrete Problems in Harmonic Analysis and One Bit Sensing,2016,0,0,MPS,MS
1600701,126628,Structure of Mappings in Several Complex Variables and Cauchy-Riemann Geometry,2016,0,0,MPS,MS
1600702,135000,Applying the Frobenius Morphism and Convexity to Study Singularities,2016,0,0,MPS,MS
1600703,49999,International Workshop on Operator Theory and Applications 2016,2016,0,0,MPS,MS
1600705,49200,"Conference: Harmonic Analysis, Complex Analysis, Spectral Theory and All That",2016,0,0,MPS,MS
1600710,19500,DISSERTATION RESEARCH: Plant traits as indicators of ecological restoration effectiveness in tropical landscapes,2016,0,0,BS,EB
1600711,6800,Forty-six Years of Statistical Signal Processing,2015,0,0,CISE,CCF
1600716,19890,DISSERTATION RESEARCH: Origins of alternate ecosystem states - effects of drought on postfire tree regeneration and shifting dominance of western conifers,2016,0,0,BS,EB
1600717,144000,"Soficity, Dynamics, and Operator Algebras",2016,0,0,MPS,MS
1600718,246515,Complex Algebraic Dynamics and Geometry,2016,0,0,MPS,MS
1600724,20538,DISSERTATION RESEARCH: Mechanisms of host preference in the ectomycorrhizal symbiosis,2016,0,0,BS,EB
1600726,100000,Exponential systems and related topics,2016,0,0,MPS,MS
1600727,14364,DISSERTATION RESEARCH: The functional basis of whole-organism trade-offs between locomotor economy and physical competitive ability,2016,0,0,BS,EB
1600728,20464,"DISSERTATION RESEARCH: Investigating species interactions across 15,000 years of extinctions and invasions: an isotopic approach",2016,0,0,BS,EB
1600736,184904,Delgado Community College Biotechnology/Synthetic Biology Initiative and Biotechnology Incubator,2016,0,0,EHR,UE
1600737,49000,Houston Summer School on Dynamical Systems,2016,0,0,MPS,MS
1600738,62466,"Topological Minors, Connectivity, and Partitions",2016,0,0,MPS,MS
1600741,105000,Geometric Combinatorics and Discrete Morse Theory,2016,0,0,MPS,MS
1600742,135000,Probabilistic and Extremal Combinatorics,2016,0,0,MPS,MS
1600744,765224,Strengthening the Teaching and Learning of Electro-Mechanical Technology,2016,0,0,EHR,UE
1600746,20152,Carolina Dynamics Symposium 2016-2018,2016,0,0,MPS,MS
1600748,212425,Collaborative Project: Addressing the Need for Innovative Education of Audio Visual Specialists,2017,0,0,EHR,UE
1600749,150000,"Linear and Nonlinear Dispersive Waves: Solitons, Nonlinear Resonances and Spectral Theory",2016,0,0,MPS,MS
1600753,200000,Harmonic Analysis in Convex Geometry,2016,0,0,MPS,MS
1600754,215158,Collaborative Project: Addressing the Need for Innovative Education of Audio Visual Specialists,2017,0,0,EHR,UE
1600758,44999,Summer School on Fractal Geometry and Complex Dimensions,2016,0,0,MPS,MS
1600763,92091,Digitization PEN: The addition of OrthopNet to SCAN,2016,0,0,BS,BI
1600765,159000,Employing Symmetry in Commutative Algebra,2016,0,0,MPS,MS
1600766,34410,EAGER: Collaborative Research: Development of an isotope-enabled reactive transport tool to simulate carbon transformations in karst environments,2016,0,0,GEO,ES
1600767,16000,Graduate Student Combinatorics Conference 2016,2016,0,0,MPS,MS
1600768,130002,The Interplay between Spectral and Combinatorial Properties of Graphs and Association Schemes,2016,0,0,MPS,MS
1600774,90708,Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores,2016,0,0,BS,BI
1600775,20922,DISSERTATION RESEARCH: How Worker Honey Bees Detect their Colony's Size: Testing the Comb Vibration and Chemical Composition Hypotheses,2016,0,0,BS,IOS
1600778,132693,RUI: Graph Coloring and Choosability,2016,0,0,MPS,MS
1600779,145000,Well-Posedness and Long Time Behavior of Some Nonlinear Partial Differential Equations,2016,0,0,MPS,MS
1600780,158854,Limit Theorems for Non-Stationary and Random Dynamical Systems,2016,0,0,MPS,MS
1600781,129995,"Ramsey Theory, Set Theory, and Tukey Order",2016,0,0,MPS,MS
1600782,44566,"Singularity, Universality, and Smoothness of Random Walks",2016,0,0,MPS,MS
1600783,319842,Collaborative Proposal: Designer Glass Ceramics,2016,0,0,MPS,MR
1600784,298687,P2C2: Investigations on How Polar Climates Communicate with Each Other at the Millennial Timescale,2016,0,0,GEO,AGS
1600790,19305,"DISSERTATION RESEARCH: Woody plant encroachment into grasslands: Impacts on landscape-scale patterns of soil carbon, nitrogen, and phosphorus storage and dynamics",2016,0,0,BS,EB
1600796,57939,"Model-Theoretic Classification, Graph Combinatorics, and Topological Dynamics",2016,0,0,MPS,MS
1600802,108965,Aspects of Sofic Entropy and Algebraic Actions,2016,0,0,MPS,MS
1600803,135144,CAREER: Closing the Loop on Walking: From Hybrid Systems to Bipedal Robots to Prosthetic Devices and Back,2015,0,0,CISE,CNS
1600804,79746,Analysis and geometry of metric measure spaces,2016,0,0,MPS,MS
1600808,45000,Conference on Statistical Properties of Nonequilibrium Dynamical Systems,2016,0,0,MPS,MS
1600811,180000,Extremal and Probabilistic Combinatorics with Applications,2016,0,0,MPS,MS
1600813,85000,"Derived Torelli Theorems, Brauer Degeneration and Universality, and Foundations of Algebraic Vision",2016,0,0,MPS,MS
1600814,235939,New Directions in Homogeneous Dynamics and Diophantine Approximation,2016,0,0,MPS,MS
1600816,46724,RAPID: An Integrated Study of Post-fire Wind and Water Erosion in Western Rangelands,2015,0,0,GEO,ES
1600818,299208,Research Initiation Award: Uncertainty Quantification of Multi-Phase Porous Media Flows on GPUs,2016,0,0,EHR,HRD
1600819,42600,"Conference: Annual Spring Institute on Noncommutative Geometry and Operator Algebras; University of Bonn, Germany; May 17-25, 2016",2016,0,0,MPS,MS
1600820,80379,Collaborative Research:EAGER:Exploiting Heterogeneity in Emerging Interconnect Technologies for Building Highly Scalable and Power-Efficient Network-on-Chips for Many-core Systems,2015,0,0,ENG,ECCS
1600823,12250000,Management and Operations of the IceCube Neutrino Observatory 2016-2021,2016,0,0,GEO,OPP
1600824,12132,Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores,2016,0,0,BS,BI
1600837,319747,Collaborative Research: Designer Glass Ceramics,2016,0,0,MPS,MR
1600840,109590,"Some problems at the interface of harmonic analysis, number theory, and combinatorics",2016,0,0,MPS,MS
1600845,15597,"DISSERTATION RESEARCH: Connecting Cognition, Signaling, and Female Choice in Wild Birds",2016,0,0,BS,IOS
1600850,70846,Algebraic Methods in Combinatorics and Finite Geometry,2016,0,0,MPS,MS
1600857,120000,"Von Neumann Algebras: Rigidity, Applications to Measurable Dynamics, and Model Theory",2016,0,0,MPS,MS
1600864,307802,Improving Research and Education of Big Data and Cloud Computing at Winston-Salem State University,2016,0,0,EHR,HRD
1600868,116582,Analytic Methods in Hydrodynamic and Wave Turbulence,2016,0,0,MPS,MS
1600874,138000,De Branges Spaces as Models for a General Theory of Function Spaces,2016,0,0,MPS,MS
1600875,159999,Positivity of Cycles,2016,0,0,MPS,MS
1600884,20086,DISSERTATION RESEARCH: Investigating the Joint Effects of Phylogeny and Adaptation on Phenotypic Variation at a Continental Scale (Serpentes:Thamnophis),2016,0,0,BS,EB
1600890,99990,"Broadband Seismological Observations of Aftershocks of the September 16, 2015 Mw 8.3 Illapel Earthquake, Chile",2015,0,0,GEO,ES
1600896,91231,CAREER: Approximate Computing Systems for Future Teraflops Workloads,2015,0,0,CISE,CCF
1600897,19630,DISSERTATION RESEARCH: The relative roles of selection and constraint in convergent ear loss across the true toads (Bufonidae),2016,0,0,BS,EB
1600899,16390,"DISSERTATION RESEARCH:   Investigating the evolution of phalangerid marsupials in Sulawesi by incorporating morphology, molecular phylogenomics and biogeographical modeling",2016,0,0,BS,IOS
1600901,180000,Operator Algebras before and after Jiang-Su Stability,2016,0,0,MPS,MS
1600902,36586,EAGER Collaborative Research: Exploring dust impacts on terrestrial ecosystem processes using an innovative and integrated approach,2015,0,0,GEO,ES
1600903,45000,ORTHOGONAL POLYNOMIALS AND SPECIAL FUNCTIONS SUMMER SCHOOL,2016,0,0,MPS,MS
1600904,150000,Descriptive Set Theory and Measured Group Theory,2016,0,0,MPS,MS
1600907,299907,Research Initiation Award: Magnetic Field Mapping of Pico/Nano/Micro-Satellites to Facilitate Refinement of their Guidance/Navigation Systems and Magnetic Cleanliness,2016,0,0,EHR,HRD
