aid,instName,address
1600116,Dartmouth College,"OFFICE OF SPONSORED PROJECTS, HANOVER, United States"
1600117,University of North Carolina at Chapel Hill,"104 AIRPORT DR STE 2200, CHAPEL HILL, United States"
1600118,Pennsylvania State Univ University Park,"110 Technology Center Building, UNIVERSITY PARK, United States"
1600120,Kalamazoo College,"1200 Academy Street, Kalamazoo, United States"
1600121,University of Toledo,"2801 W Bancroft St., MS 944, TOLEDO, United States"
1600124,Case Western Reserve University,"Nord Hall, Suite 615, CLEVELAND, United States"
1600129,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1600131,College of William & Mary Virginia Institute of Marine Science,"P.O. Box 1346, Gloucester Point, United States"
1600138,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1600139,Brown University,"BOX 1929, Providence, United States"
1600140,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1600143,Eastern Iowa Community College,"306 West River Drive, davenport, United States"
1600149,San Diego State University Foundation,"5250 Campanile Drive, San Diego, United States"
1600154,University of California-Riverside,"Office of Research, RIVERSIDE, United States"
1600168,Worcester Polytechnic Institute,"100 INSTITUTE RD, WORCESTER, United States"
1600177,Austin Community College,"5930 Middle Fiskville Road, Austin, United States"
1600186,California Institute of Technology,"1200 E California Blvd, PASADENA, United States"
1600188,University of Florida,"1 UNIVERSITY OF FLORIDA, GAINESVILLE, United States"
1600198,University of Utah,"75 S 2000 E, SALT LAKE CITY, United States"
1600218,University of Connecticut,"438 Whitney Road Ext., Storrs, United States"
1600220,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1600221,Ohio State University,"Office of Sponsored Programs, Columbus, United States"
1600222,University of Texas at Austin,"101 E. 27th Street, Suite 5.300, Austin, United States"
1600223,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1600228,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1600230,University of Alaska Fairbanks Campus,"West Ridge Research Bldg 008, Fairbanks, United States"
1600233,Temple University,"3340 N. Broad Street, PHILADELPHIA, United States"
1600236,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1600237,University of Georgia,"310 East Campus Rd, Athens, United States"
1600239,Kent State University,"OFFICE OF THE COMPTROLLER, KENT, United States"
1600258,Louisiana State University & Agricultural and Mechanical College,"202 Himes Hall, Baton Rouge, United States"
1600263,University of Pennsylvania,"Research Services, Philadelphia, United States"
1600266,Northeastern University,"360 HUNTINGTON AVE, BOSTON, United States"
1600267,University of California-San Diego,"Office of Contract & Grant Admin, La Jolla, United States"
1600272,West Virginia University Research Corporation,"P.O. Box 6845, Morgantown, United States"
1600279,Carnegie-Mellon University,"5000 Forbes Avenue, PITTSBURGH, United States"
1600280,Northeastern University,"360 HUNTINGTON AVE, BOSTON, United States"
1600283,University of California-San Diego Scripps Inst of Oceanography,"8602 La Jolla Shores Dr, LA JOLLA, United States"
1600284,University of California-Riverside,"Office of Research, RIVERSIDE, United States"
1600287,University of Colorado at Boulder,"3100 Marine Street, Room 481, Boulder, United States"
1600292,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1600307,University of Connecticut,"438 Whitney Road Ext., Storrs, United States"
1600311,Northwestern University,"1801 Maple Ave., Evanston, United States"
1600313,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1600314,Riverside Community College District/Riverside City College,"4800 Magnolia Avenue, Riverside, United States"
1600319,Vanderbilt University,"Sponsored Programs Administratio, Nashville, United States"
1600320,University of California-Berkeley,"Sponsored Projects Office, BERKELEY, United States"
1600323,Arizona State University,"ORSPA, TEMPE, United States"
1600325,University of Colorado at Boulder,"3100 Marine Street, Room 481, Boulder, United States"
1600327,Purdue University,"Young Hall, West Lafayette, United States"
1600329,University of California-San Diego,"Office of Contract & Grant Admin, La Jolla, United States"
1600353,Suffolk Community College,"533 College Road, Selden, United States"
1600360,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1600365,Indiana University,"509 E 3RD ST, Bloomington, United States"
1600371,Central Michigan University,"Office of Research & Graduate St, Mount Pleasant, United States"
1600375,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1600376,University of Tennessee Knoxville,"1 CIRCLE PARK, KNOXVILLE, United States"
1600381,University of Minnesota-Twin Cities,"200 OAK ST SE, Minneapolis, United States"
1600382,Purdue University,"Young Hall, West Lafayette, United States"
1600390,Iowa State University,"1138 Pearson, AMES, United States"
1600391,Drexel University,"1505 Race St, 8th Floor, Philadelphia, United States"
1600392,Gordon Research Conferences,"512 Liberty Lane, West Kingston, United States"
1600399,University of Kentucky Research Foundation,"109 Kinkead Hall, Lexington, United States"
1600403,Linn Benton Community College,"6500 S W Pacific Blvd, Albany, United States"
1600410,Wake Technical Community College,"9101 Fayetteville Road, Raleigh, United States"
1600414,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1600415,North Carolina Agricultural & Technical State University,"1601 E. Market Street, Greensboro, United States"
1600417,Michigan State University,"Office of Sponsored Programs, East Lansing, United States"
1600422,University of California-Irvine,"141 Innovation Drive, Ste 250, Irvine, United States"
1600428,North Carolina State University,"CAMPUS BOX 7514, RALEIGH, United States"
1600429,University of Iowa,"2 GILMORE HALL, IOWA CITY, United States"
1600434,Columbia Gorge Community College,"400 East Scenic Drive, The Dalles, United States"
1600435,Salish Kootenai College,"P O BOX 70, pablo, United States"
1600441,University of California-Berkeley,"Sponsored Projects Office, BERKELEY, United States"
1600444,University of California-San Diego,"Office of Contract & Grant Admin, La Jolla, United States"
1600447,University of California-Berkeley,"Sponsored Projects Office, BERKELEY, United States"
1600448,Colorado State University,"601 S Howes St, Fort Collins, United States"
1600455,Sinclair Community College,"444 West Third Street, Dayton, United States"
1600458,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1600463,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1600469,University of California-Berkeley,"Sponsored Projects Office, BERKELEY, United States"
1600473,Oklahoma State University,"101 WHITEHURST HALL, Stillwater, United States"
1600474,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1600476,San Francisco State University,"1600 Holloway Ave, San Francisco, United States"
1600479,University of South Florida,"3702 Spectrum Blvd., Tampa, United States"
1600483,University of Colorado at Denver,"MS F428, AMC Bldg 500, Aurora, United States"
1600486,University of North Carolina at Chapel Hill,"104 AIRPORT DR STE 2200, CHAPEL HILL, United States"
1600494,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1600503,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1600506,University of North Carolina at Chapel Hill,"104 AIRPORT DR STE 2200, CHAPEL HILL, United States"
1600508,University of Illinois at Chicago,"809 S MARSHFIELD, Chicago, United States"
1600515,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1600517,University of Maryland Center for Environmental Sciences,"BOX 775, Cambridge, United States"
1600519,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1600520,University of Kentucky Research Foundation,"109 Kinkead Hall, Lexington, United States"
1600521,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1600525,University of Kansas Center for Research Inc,"2385 IRVING HILL RD, LAWRENCE, United States"
1600541,Ohio State University,"Office of Sponsored Programs, Columbus, United States"
1600542,University of Texas at San Antonio,"One UTSA Circle, San Antonio, United States"
1600543,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1600545,Friends of the North Carolina State Museum of Natural Sciences,"11 West Jones Stree, Raleigh, United States"
1600549,Southern Methodist University,"6425 BOAZ, Dallas, United States"
1600551,Auburn University,"310 Samford Hall, Auburn University, United States"
1600554,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1600556,Michigan State University,"Office of Sponsored Programs, East Lansing, United States"
1600558,Indian River State College,"3209 Virginia Avenue, Fort Pierce, United States"
1600560,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1600561,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1600562,Arizona State University,"ORSPA, TEMPE, United States"
1600568,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1600569,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1600570,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1600578,Temple University,"3340 N. Broad Street, PHILADELPHIA, United States"
1600584,New York University,"70 WASHINGTON SQUARE S, NEW YORK, United States"
1600585,The University of Texas Rio Grande Valley,"1201 West University Dr, Edinburg, United States"
1600587,University of Utah,"75 S 2000 E, SALT LAKE CITY, United States"
1600592,University of Illinois at Urbana-Champaign,"SUITE A, CHAMPAIGN, United States"
1600593,Brown University,"BOX 1929, Providence, United States"
1600595,Jackson State University,"1400 J R LYNCH ST., Jackson, United States"
1600598,University of Utah,"75 S 2000 E, SALT LAKE CITY, United States"
1600600,Texas A&M University Main Campus,"400 Harvey Mitchell Pkwy South, College Station, United States"
1600605,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1600609,San Francisco State University,"1600 Holloway Ave, San Francisco, United States"
1600616,Yale University,"Office of Sponsored Projects, New Haven, United States"
1600625,University of Notre Dame,"940 Grace Hall, NOTRE DAME, United States"
1600635,Cornell University,"373 Pine Tree Road, Ithaca, United States"
1600636,Columbia University,"2960 Broadway, NEW YORK, United States"
1600638,Fisk University,"1000 Seventeenth Avenue North, nashville, United States"
1600641,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1600642,University of North Texas,"1155 Union Circle #305250, DENTON, United States"
1600643,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1600650,University of Illinois at Urbana-Champaign,"SUITE A, CHAMPAIGN, United States"
1600653,Virginia Polytechnic Institute and State University,"Sponsored Programs 0170, BLACKSBURG, United States"
1600654,Northwestern University,"1801 Maple Ave., Evanston, United States"
1600655,Ohio State University,"Office of Sponsored Programs, Columbus, United States"
1600658,Columbia University,"2960 Broadway, NEW YORK, United States"
1600665,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1600669,University of Illinois at Urbana-Champaign,"SUITE A, CHAMPAIGN, United States"
1600670,University of Pennsylvania,"Research Services, Philadelphia, United States"
1600673,Virginia State University Research Foundation,"1 Hayden Drive, South Chesterfield, United States"
1600685,University of Minnesota-Twin Cities,"200 OAK ST SE, Minneapolis, United States"
1600687,University of Maryland College Park,"3112 LEE BLDG 7809 Regents Drive, COLLEGE PARK, United States"
1600688,University of Iowa,"2 GILMORE HALL, IOWA CITY, United States"
1600689,Columbus State Community College,"550 East Spring Street, Columbus, United States"
1600691,Hampton University,"100 E. Queen Street, Hampton, United States"
1600693,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1600701,University of California-San Diego,"Office of Contract & Grant Admin, La Jolla, United States"
1600702,University of Kansas Center for Research Inc,"2385 IRVING HILL RD, LAWRENCE, United States"
1600703,Washington University,"CAMPUS BOX 1054, Saint Louis, United States"
1600705,Syracuse University,"OFFICE OF SPONSORED PROGRAMS, SYRACUSE, United States"
1600710,University of Minnesota-Twin Cities,"200 OAK ST SE, Minneapolis, United States"
1600711,Colorado State University,"601 S Howes St, Fort Collins, United States"
1600716,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1600717,SUNY at Buffalo,"520 Lee Entrance, Amherst, United States"
1600718,Northwestern University,"1801 Maple Ave., Evanston, United States"
1600724,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1600726,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1600727,University of Utah,"75 S 2000 E, SALT LAKE CITY, United States"
1600728,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1600736,Delgado Community College,"501 City Park Avenue, New Orleans, United States"
1600737,University of Houston,"4800 Calhoun Boulevard, Houston, United States"
1600738,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1600741,University of Miami,"1320 S. Dixie Highway Suite 650, CORAL GABLES, United States"
1600742,University of Memphis,"Administration 315, Memphis, United States"
1600744,Delaware County Community College,"901 South Media Line Road, Media, United States"
1600746,Clemson University,"230 Kappa Street, CLEMSON, United States"
1600748,Carroll Community College,"1601 Washington Road, Westminster, United States"
1600749,Rutgers University New Brunswick,"33 Knightsbridge Road, Piscataway, United States"
1600753,Kent State University,"OFFICE OF THE COMPTROLLER, KENT, United States"
1600754,Howard Community College,"10901 LITTLE PATUXENT PKW, COLUMBIA, United States"
1600758,California Polytechnic State University Foundation,"One Grand Ave, San Luis Obispo, United States"
1600763,Academy of Natural Sciences Philadelphia,"1900 Benjamin Franklin Parkway, Philadelphia, United States"
1600765,University of Notre Dame,"940 Grace Hall, NOTRE DAME, United States"
1600766,Vanderbilt University,"Sponsored Programs Administratio, Nashville, United States"
1600767,Clemson University,"230 Kappa Street, CLEMSON, United States"
1600768,University of Delaware,"210 Hullihen Hall, Newark, United States"
1600774,University of Alaska Fairbanks Campus,"West Ridge Research Bldg 008, Fairbanks, United States"
1600775,Cornell University,"373 Pine Tree Road, Ithaca, United States"
1600778,California State L A University Auxiliary Services Inc.,"5151 State University Drive, Los Angeles, United States"
1600779,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1600780,University of Houston,"4800 Calhoun Boulevard, Houston, United States"
1600781,University of Denver,"2199 S. University Blvd., Denver, United States"
1600782,Ohio State University,"Office of Sponsored Programs, Columbus, United States"
1600783,University of Tennessee Space Institute,"411 B. H. Goethert Pkwy., Tullahoma, United States"
1600784,University of North Carolina at Chapel Hill,"104 AIRPORT DR STE 2200, CHAPEL HILL, United States"
1600790,Texas A&M AgriLife Research,"2147 TAMU, College Station, United States"
1600796,University of California-Los Angeles,"10889 Wilshire Boulevard, LOS ANGELES, United States"
1600802,Vanderbilt University,"Sponsored Programs Administratio, Nashville, United States"
1600803,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1600804,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1600808,University of Massachusetts Amherst,"Research Administration Building, Hadley, United States"
1600811,University of South Carolina at Columbia,"Sponsored Awards Management, COLUMBIA, United States"
1600813,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1600814,Brandeis University,"415 SOUTH ST MAILSTOP 116, WALTHAM, United States"
1600816,Boise State University,"1910 University Drive, Boise, United States"
1600818,Central State University,"P.O. Box 1004, Wilberforce, United States"
1600819,Vanderbilt University,"Sponsored Programs Administratio, Nashville, United States"
1600820,George Washington University,"2121 Eye Street NW, Washington, United States"
1600823,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1600824,Western Washington University,"516 High Street, Bellingham, United States"
1600837,Northwestern University,"1801 Maple Ave., Evanston, United States"
1600840,University of Georgia Research Foundation Inc,"310 East Campus Rd, ATHENS, United States"
1600845,"Board of Regents, NSHE, obo University of Nevada, Reno","1664 North Virginia Street, Reno, United States"
1600850,University of Delaware,"210 Hullihen Hall, Newark, United States"
1600857,Purdue University,"Young Hall, West Lafayette, United States"
1600864,Winston-Salem State University,"601 Martin Luther King Jr., Driv, Winston Salem, United States"
1600868,New York University,"70 WASHINGTON SQUARE S, NEW YORK, United States"
1600874,Clemson University,"230 Kappa Street, CLEMSON, United States"
1600875,Boston College,"140 Commonwealth Avenue, Chestnut Hill, United States"
1600884,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1600890,University of Florida,"1 UNIVERSITY OF FLORIDA, GAINESVILLE, United States"
1600896,University of Illinois at Urbana-Champaign,"SUITE A, CHAMPAIGN, United States"
1600897,Colorado State University,"601 S Howes St, Fort Collins, United States"
1600899,George Mason University,"4400 UNIVERSITY DR, FAIRFAX, United States"
1600901,Purdue University,"Young Hall, West Lafayette, United States"
1600902,University of North Texas,"1155 Union Circle #305250, DENTON, United States"
1600903,University of Maryland College Park,"3112 LEE BLDG 7809 Regents Drive, COLLEGE PARK, United States"
1600904,Texas A&M University Main Campus,"400 Harvey Mitchell Pkwy South, College Station, United States"
1600907,Tuskegee University,"1200 W Montgomery Road, Tuskegee Institute, United States"
1600911,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1600919,Tennessee State University,"3500 John A. Merritt Blvd., nashville, United States"
1600920,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1600927,Bemidji State University,"1500 Birchmont Dr. NE, Bemidji, United States"
1600931,University of Illinois at Urbana-Champaign,"SUITE A, CHAMPAIGN, United States"
1600932,University of California-Irvine,"141 Innovation Drive, Ste 250, Irvine, United States"
1600934,Madison Area Technical College,"1701 Wright Street, Madison, United States"
1600937,Colorado State University,"601 S Howes St, Fort Collins, United States"
1600942,University of California-Los Angeles,"10889 Wilshire Boulevard, LOS ANGELES, United States"
1600943,University of California-Santa Cruz,"1156 High Street, Santa Cruz, United States"
1600945,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1600947,University of Texas at El Paso,"ADMIN BLDG RM 209, El Paso, United States"
1600953,Drexel University,"1505 Race St, 8th Floor, Philadelphia, United States"
1600954,Flathead Valley Community College,"777 Grandview Drive, Kalispell, United States"
1600956,California Institute of Technology,"1200 E California Blvd, PASADENA, United States"
1600961,University of California-Davis,"OR/Sponsored Programs, Davis, United States"
1600965,University of California-Davis,"OR/Sponsored Programs, Davis, United States"
1600969,Savannah State University,"State College Branch, Savannah, United States"
1600971,Brown University,"BOX 1929, Providence, United States"
1600976,Howard University,"2400 Sixth Street N W, Washington, United States"
1600980,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1600981,New York Botanical Garden,"2900 Southern Blvd, Bronx, United States"
1600982,Haverford College,"370 Lancaster Avenue, Haverford, United States"
1600987,Winston-Salem State University,"601 Martin Luther King Jr., Driv, Winston Salem, United States"
1600988,West Virginia State University,"204 ACEOP Admin. Building, Institute, United States"
1600990,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1600992,Western Michigan University,"1903 West Michigan Avenue, Kalamazoo, United States"
1600997,University of Kansas Center for Research Inc,"2385 IRVING HILL RD, LAWRENCE, United States"
1601000,University of Colorado at Boulder,"3100 Marine Street, Room 481, Boulder, United States"
1601002,University of Georgia Research Foundation Inc,"310 East Campus Rd, ATHENS, United States"
1601003,Washington State University,"280 Lighty, PULLMAN, United States"
1601004,Florida Atlantic University,"777 GLADES RD, BOCA RATON, United States"
1601014,American Association of Community Colleges,"1 DUPONT CIR NW STE 410, WASHINGTON, United States"
1601016,Cornell University,"373 Pine Tree Road, Ithaca, United States"
1601022,Alcorn State University,"1000 ASU Drive #210, Lorman, United States"
1601024,University of Nebraska-Lincoln,"151 Prem S. Paul Research Center, Lincoln, United States"
1601026,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1601028,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1601031,Howard University,"2400 Sixth Street N W, Washington, United States"
1601036,Yale University,"Office of Sponsored Projects, New Haven, United States"
1601038,Sinclair Community College,"444 West Third Street, Dayton, United States"
1601041,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1601043,Northeast Iowa Community College,"Box 400, Calmar, United States"
1601044,Morgan State University,"1700 East Cold Spring Lane, Baltimore, United States"
1601050,Cornell University,"373 Pine Tree Road, Ithaca, United States"
1601052,University of Georgia Research Foundation Inc,"310 East Campus Rd, ATHENS, United States"
1601054,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1601057,Hampton University,"100 E. Queen Street, Hampton, United States"
1601060,Union County College,"1033 Springfield Ave, Cranford, United States"
1601061,Virginia Polytechnic Institute and State University,"Sponsored Programs 0170, BLACKSBURG, United States"
1601062,Brigham Young University,"A-285 ASB, Provo, United States"
1601063,California Institute of Technology,"1200 E California Blvd, PASADENA, United States"
1601065,University of Massachusetts Amherst,"Research Administration Building, Hadley, United States"
1601070,SUNY at Albany,"1400 WASHINGTON AVE, Albany, United States"
1601071,Clark Atlanta University,"223 James P. Brawley Dr. S.W., Atlanta, United States"
1601072,Cornell University,"373 Pine Tree Road, Ithaca, United States"
1601075,Klamath Community College,"7390 South 6th Street, Klamath Falls, United States"
1601076,University of California-Davis,"OR/Sponsored Programs, Davis, United States"
1601077,University of Utah,"75 S 2000 E, SALT LAKE CITY, United States"
1601078,Indiana University,"509 E 3RD ST, Bloomington, United States"
1601080,West Virginia University Research Corporation,"P.O. Box 6845, Morgantown, United States"
1601084,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1601087,University of California-Irvine,"141 Innovation Drive, Ste 250, Irvine, United States"
1601088,University of Georgia Research Foundation Inc,"310 East Campus Rd, ATHENS, United States"
1601093,University of Wisconsin-Milwaukee,"P O BOX 340, Milwaukee, United States"
1601095,University of Connecticut,"438 Whitney Road Ext., Storrs, United States"
1601096,Ohio State University,"Office of Sponsored Programs, Columbus, United States"
1601100,University of California-Berkeley,"Sponsored Projects Office, BERKELEY, United States"
1601101,Rutgers University New Brunswick,"33 Knightsbridge Road, Piscataway, United States"
1601105,University of Oklahoma Norman Campus,"201 Stephenson Parkway, NORMAN, United States"
1601106,University of California-Irvine,"141 Innovation Drive, Ste 250, Irvine, United States"
1601115,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1601119,University of Hawaii,"2440 Campus Road, Box 368, HONOLULU, United States"
1601121,University of New Mexico,"1700 Lomas Blvd. NE, Suite 2200, Albuquerque, United States"
1601124,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1601126,Prairie View A & M University,"P.O. Box 519, Prairie View, United States"
1601127,Virginia State University,"1 Hayden Drive, Petersburg, United States"
1601128,University of Maryland College Park,"3112 LEE BLDG 7809 Regents Drive, COLLEGE PARK, United States"
1601130,University of California-Davis,"OR/Sponsored Programs, Davis, United States"
1601135,Indiana University,"509 E 3RD ST, Bloomington, United States"
1601140,Renton Technical College,"3000 NE Fourth Street, Renton, United States"
1601144,Columbia University,"2960 Broadway, NEW YORK, United States"
1601148,University of Virginia Main Campus,"P.O. BOX 400195, CHARLOTTESVILLE, United States"
1601150,Prince George's Community College,"301 LARGO RD, LARGO, United States"
1601155,Yale University,"Office of Sponsored Projects, New Haven, United States"
1601156,University of the District of Columbia,"4200 Connecticut Ave NW, Washington, United States"
1601159,Raritan Valley Community College,"P O BOX 3300, Somerville, United States"
1601160,Columbia University,"2960 Broadway, NEW YORK, United States"
1601164,Mississippi State University,"PO Box 6156, MISSISSIPPI STATE, United States"
1601166,Trident Technical College,"P O Box 118067, Charleston, United States"
1601168,Piedmont Virginia Community College,"501 College Drive, Charlottesville, United States"
1601172,College of Lake County,"19351 W Washington Street, Grayslake, United States"
1601174,North Carolina Central University,"1801 Fayetteville Street, Durham, United States"
1601183,U of Kentucky Madisonville Community College,"University Drive, Madisonville, United States"
1601184,University of California-Santa Barbara,"Office of Research, Santa Barbara, United States"
1601186,University of California-Davis,"OR/Sponsored Programs, Davis, United States"
1601191,University of California-Irvine,"141 Innovation Drive, Ste 250, Irvine, United States"
1601205,University of Utah,"75 S 2000 E, SALT LAKE CITY, United States"
1601208,San Diego State University Foundation,"5250 Campanile Drive, San Diego, United States"
1601210,University of New Mexico,"1700 Lomas Blvd. NE, Suite 2200, Albuquerque, United States"
1601211,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1601216,Skagit Valley College,"2405 College Way, Mount Vernon, United States"
1601219,Montana State University,"309 MONTANA HALL, BOZEMAN, United States"
1601220,Education Connection,"355 Goshen Rd PO Box 909, Litchfield, United States"
1601221,Northwest Vista College,"3535 North Ellison Drive, San Antonio, United States"
1601222,Augusta Technical College,"3200 Augusta Tech Drive, Augusta, United States"
1601224,Ohio State University,"Office of Sponsored Programs, Columbus, United States"
1601229,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1601237,Gordon Research Conferences,"512 Liberty Lane, West Kingston, United States"
1601239,University of South Carolina at Columbia,"Sponsored Awards Management, COLUMBIA, United States"
1601242,University of Iowa,"2 GILMORE HALL, IOWA CITY, United States"
1601245,Gordon Research Conferences,"512 Liberty Lane, West Kingston, United States"
1601248,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1601251,University of Georgia Research Foundation Inc,"310 East Campus Rd, ATHENS, United States"
1601259,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1601260,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1601261,Washtenaw Community College,"4800 E Huron River Dr, Ann Arbor, United States"
1601269,Dartmouth College,"OFFICE OF SPONSORED PROJECTS, HANOVER, United States"
1601270,Virginia Polytechnic Institute and State University,"Sponsored Programs 0170, BLACKSBURG, United States"
1601271,CUNY Graduate School University Center,"365 Fifth Avenue, New York, United States"
1601273,University of Georgia Research Foundation Inc,"310 East Campus Rd, ATHENS, United States"
1601275,Denver Museum of Nature and Science,"2001 Colorado Boulevard, Denver, United States"
1601279,Duke University,"2200 W. Main St, Suite 710, Durham, United States"
1601280,American Museum Natural History,"Central Park West at 79th St, New York, United States"
1601281,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1601282,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1601288,Gordon Research Conferences,"512 Liberty Lane, West Kingston, United States"
1601289,CUNY City College,"Convent Ave at 138th St, New York, United States"
1601292,University of Nebraska-Lincoln,"151 Prem S. Paul Research Center, Lincoln, United States"
1601295,Irvine Valley College,"5500 Irvine Center Drive, Irvine, United States"
